domain,problem,k,iterations,relevant_plans,irrelevant_plans,unfiltered_plans,processed_plans,relevant_plans_pctg,irrelevant_plans_pctg,unfiltered_plans_pctg,planning_time,extending_plans_time,task_reformulation_time,independent_planning_time,global_time,planning_time_pctg,extending_plans_time_pctg,task_reformulation_time_pctg,independent_planning_time_pctg
intrusion-detection,p15.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.07000000000000006,2.3399999999999994,2.750509023666382,0.05089966940496796,0.0,0.025449834702483996,0.8507516171973212
intrusion-detection,p7.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.08999999999999986,2.3200000000000007,2.8020620346069336,0.04639440468998613,0.0,0.032119203246913426,0.8279616836982143
intrusion-detection,p9.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.07999999999999985,5.560000000000001,6.184443950653076,0.022637443417239805,0.0,0.012935681952708434,0.8990298957132381
intrusion-detection,p5.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.06999999999999984,5.560000000000001,6.197044849395752,0.020977740706955794,0.0,0.011295706534514633,0.8972018333128787
intrusion-detection,p4.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.15000000000000002,0,0.09000000000000008,21.529999999999998,23.332395553588867,0.006428829806844579,0.0,0.00385729788410675,0.9227513716090916
intrusion-detection,p18.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.07999999999999985,10.899999999999997,11.935087203979492,0.01173011957158722,0.0,0.006702925469478397,0.913273595216433
intrusion-detection,p10.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.13,0,0.07000000000000006,1.3500000000000005,1.9328088760375977,0.06725962489706158,0.0,0.0362167210984178,0.6984653354694859
intrusion-detection,p9.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.09000000000000008,21.589999999999993,23.43406891822815,0.005974207914490738,0.0,0.003840562230744049,0.9213082062418212
intrusion-detection,p2.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.09000000000000008,20.31000000000001,22.958905696868896,0.006097851607060393,0.0,0.0039200474616816845,0.8846240438528331
intrusion-detection,p7.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.08000000000000007,1.2599999999999998,1.6261134147644043,0.0860948558254675,0.0,0.04919706047169575,0.7748537024292073
intrusion-detection,p17.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.08000000000000007,2.380000000000001,2.746471405029297,0.04733346204222115,0.0,0.02912828433367458,0.8665664589268182
intrusion-detection,p1.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.08000000000000007,2.429999999999999,3.098867416381836,0.04195081058091376,0.0,0.02581588343440849,0.7841574593201568
intrusion-detection,p11.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.08000000000000007,2.2399999999999998,2.8040220737457275,0.04992828027668922,0.0,0.028530445872393864,0.7988524844270274
intrusion-detection,p4.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.08999999999999986,10.909999999999998,11.887238502502441,0.011777335835444701,0.0,0.0075711444656430095,0.9177909568907262
intrusion-detection,p2.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.09000000000000008,10.229999999999995,11.688911199569702,0.011977163450874172,0.0,0.007699605075561974,0.8751884435888765
intrusion-detection,p1.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.06999999999999984,5.779999999999999,6.692827463150024,0.02091791560006958,0.0,0.010458957800034765,0.8636110869171583
intrusion-detection,p0.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.06999999999999984,6.100000000000001,7.417458772659302,0.018874388694419035,0.0,0.009437194347209495,0.822384078828258
intrusion-detection,p19.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.06999999999999984,5.359999999999998,6.105302810668945,0.02129296515364095,0.0,0.011465442775037409,0.8779253324885803
intrusion-detection,p7.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.08000000000000007,5.55,6.199953556060791,0.020967899005133343,0.0,0.012903322464697454,0.895167995988385
intrusion-detection,p5.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07999999999999985,1.27,1.6342144012451172,0.08566807384228974,0.0,0.048953185052736894,0.7771318127121998
intrusion-detection,p7.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.13,0,0.07999999999999985,10.889999999999999,11.925646305084229,0.01090087670507027,0.0,0.0067082318185047686,0.9131580562939633
intrusion-detection,p17.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.09999999999999987,21.52,23.15044403076172,0.006047400205973224,0.0,0.004319571575695154,0.9295718030895983
intrusion-detection,p11.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.08000000000000007,10.190000000000005,11.790871620178223,0.011873592089698614,0.0,0.00678490976554207,0.8642278813859208
intrusion-detection,p6.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.13,0,0.07999999999999985,10.240000000000002,11.740395545959473,0.011072880763778038,0.0,0.006814080470017241,0.8722023001622087
intrusion-detection,p6.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.09999999999999987,5.250000000000003,6.105083703994751,0.0212937293414891,0.0,0.016379791801145443,0.8599390695601373
intrusion-detection,p2.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.08000000000000007,5.180000000000001,6.103984594345093,0.02129756358173573,0.0,0.013106192973375846,0.8486259950260854
intrusion-detection,p8.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.07000000000000006,5.419999999999997,6.205845355987549,0.020947992182011575,0.0,0.011279688098006242,0.8733701355884821
intrusion-detection,p14.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.08000000000000007,10.560000000000002,11.722162008285522,0.011943189311071153,0.0,0.006824679606326379,0.9008577080350814
intrusion-detection,p8.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07000000000000006,1.2300000000000004,1.6360085010528564,0.08557412746321473,0.0,0.0427870637316074,0.751829834141101
intrusion-detection,p12.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07000000000000006,1.29,1.6895246505737305,0.08286354386866074,0.0,0.0414317719343304,0.7635283685040881
intrusion-detection,p0.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.07999999999999985,23.799999999999986,27.9593026638031,0.00500727795980577,0.0,0.002861301691317577,0.8512372531669803
intrusion-detection,p3.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.06000000000000005,2.1399999999999997,2.753680944442749,0.047209536116504434,0.0,0.021789016669155913,0.7771415945332267
intrusion-detection,p18.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.07999999999999985,21.619999999999997,23.481470108032227,0.00596214799822566,0.0,0.003406941713271799,0.9207259980117053
intrusion-detection,p6.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.07000000000000006,2.209999999999999,2.748220205307007,0.047303341904320784,0.0,0.025471030256172752,0.8041568123734529
intrusion-detection,p13.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.13,0,0.07999999999999985,9.979999999999997,11.669034957885742,0.011140595642157036,0.0,0.006855751164404316,0.8552549577594398
intrusion-detection,p3.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.13,0,0.07000000000000006,5.080000000000001,6.0969812870025635,0.021322027062331928,0.0,0.011481091495101818,0.833199211358817
intrusion-detection,p12.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.13,0,0.08000000000000007,21.570000000000004,23.296518325805664,0.005580232985115135,0.0,0.003433989529301625,0.92588942683795
intrusion-detection,p1.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.07000000000000006,22.299999999999994,26.516115188598633,0.005279808109303924,0.0,0.002639904054651964,0.8409980059819819
intrusion-detection,p10.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.06999999999999984,5.729999999999998,6.865068435668945,0.020393096050230146,0.0,0.010196548025115049,0.834660288341562
intrusion-detection,p4.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.13,0,0.07000000000000006,2.3599999999999994,2.801504611968994,0.04640363590500446,0.0,0.024986573179617808,0.8424044671985422
intrusion-detection,p11.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.06000000000000005,1.19,1.634148120880127,0.08567154850357027,0.0,0.036716377930101574,0.7282081622803472
intrusion-detection,p0.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07000000000000006,1.4099999999999993,1.9377045631408691,0.07225043624455879,0.0,0.03612521812227942,0.7276651078916274
intrusion-detection,p7.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.08000000000000007,21.59,23.19404625892639,0.0060360317659589055,0.0,0.003449161009119377,0.9308423273360911
intrusion-detection,p9.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.07000000000000006,10.889999999999995,11.94080114364624,0.011724506447751599,0.0,0.005862253223875805,0.9119991086858203
intrusion-detection,p14.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.06999999999999984,1.2399999999999998,1.680652141571045,0.08330099759319047,0.0,0.04165049879659513,0.737808835825401
intrusion-detection,p15.pddl,50,1,50,0,0,50,1.0,0.0,0.0,0.14,0,0.07000000000000006,10.85,11.921662092208862,0.011743328985267407,0.0,0.0058716644926337085,0.9101079963582239
intrusion-detection,p2.pddl,5,1,5,0,0,5,1.0,0.0,0.0,0.14,0,0.07999999999999985,1.2000000000000002,1.6363563537597656,0.08555593632055129,0.0,0.048889106468886355,0.7333365970332968
intrusion-detection,p11.pddl,25,1,25,0,0,25,1.0,0.0,0.0,0.14,0,0.07000000000000006,5.259999999999999,6.120440244674683,0.0228741715306856,0.0,0.011437085765342808,0.8594153017957585
intrusion-detection,p9.pddl,10,1,10,0,0,10,1.0,0.0,0.0,0.14,0,0.07000000000000006,2.3799999999999994,2.8476741313934326,0.04916292860078579,0.0,0.024581464300392913,0.8357697862133581
intrusion-detection,p19.pddl,100,1,100,0,0,100,1.0,0.0,0.0,0.14,0,0.09000000000000008,20.93000000000001,23.04439663887024,0.006075229575065306,0.0,0.0039055047268276998,0.9082468214722637
